"Symbol","2024-11-25","2024-11-26","2024-11-28","2024-11-29","2024-12-02","2024-12-03","2024-12-04","2024-12-05","2024-12-06","2024-12-09","2024-12-10","2024-12-11","2024-12-12","2024-12-13","2024-12-16","2024-12-17","2024-12-18","2024-12-19","2024-12-20","2024-12-23","2024-12-24","2024-12-25","2024-12-26","2024-12-27","2024-12-30","2024-12-31","2025-01-02","2025-01-03","2025-01-06","2025-01-07","2025-01-08","2025-01-09","2025-01-12","2025-01-13","2025-01-14","2025-01-15","2025-01-16","2025-01-17","2025-01-20","2025-01-21","2025-01-22","2025-01-23","2025-01-27","2025-01-28","2025-01-29","2025-01-30","2025-01-31","2025-02-03","2025-02-04","2025-02-05","2025-02-06","2025-02-07","2025-02-10","2025-02-11","2025-02-12","2025-02-13","2025-02-14","2025-02-17","2025-02-18","2025-02-19","2025-02-20","2025-02-21","2025-02-24","2025-02-25","2025-02-27","2025-02-28"
"AAPL",233.26,234.25,234.93,237.33,238.8677,240.4681,243.42,243.34,243.78,245.24,247.16,249.2699,246.56,248.29,248.6,252.05,253.5,249.58,249.46,254.95,256.73,256.73,258.73,256.65,251.255,252.27,246.915,243.063,244.585,244.642,241.02,242.7,236.85,230.31,234.9,237.53,234.9195,230.725,229.98,221.76,222.96,225.155,225.66,234.57,235.77,239.41,241.78,228.88,229.01,230.16,233.1899,232.69,229.13,229.94,232.66,236.29,244.37,244.6,244.857,245.075,244.9937,245.755,247.76,247.74,240.67,236.805
"ABNB",140.55,139.51,138.28,136.11,136.31,137.4,136.81,139.83,137.61,138.11,138.36,139.64,136.32,134.92,130.79,131.71,132.205,129.0,132.23,133.07,133.3,133.3,134.68,133.715,130.08,132.23,133.975,132.435,137.13,133.185,130.54,130.8,129.63,129.26,129.87,131.915,130.78,134.31,135.12,134.86,134.49,132.49,127.16,127.64,132.33,133.025,133.1,128.0524,130.41,128.95,132.4,137.35,134.76,136.075,136.22,140.41,161.725,161.42,160.0,156.8963,153.83,150.87,144.98,142.49,141.97,139.29
"ADBE",519.925,525.3,513.68,515.93,515.145,508.12,535.695,535.98,550.21,553.93,550.62,544.7,481.69,466.8,466.765,461.6456,452.46,443.09,439.44,448.2,443.92,443.92,447.7,447.08,440.55,445.71,449.75,428.7,432.575,433.33,418.195,419.58,405.92,406.62,406.39,422.281,424.6,430.505,429.99,434.47,436.315,434.26,439.61,436.875,440.7,444.36,440.45,433.85,439.985,439.38,437.86,440.03,449.44,455.81,460.78,461.28,459.54,460.16,456.2,458.36,456.01,449.765,443.67,445.77,440.9,436.96
"ADI",235.5,219.05,217.17,218.05,219.62,221.065,219.13,217.12,216.975,222.75,216.8917,219.04,216.43,216.93,215.97,215.8175,216.55,207.51,208.88,213.33,215.33,215.33,216.66,217.25,211.615,213.04,216.295,211.16,220.3,217.75,215.9525,220.44,212.37,209.4,212.11,218.395,212.981,218.43,219.16,222.45,225.39,223.22,218.09,209.063,210.95,210.095,212.895,203.77,206.12,205.28,209.11,207.325,204.68,206.42,202.92,206.185,212.885,214.61,216.63,225.05,244.2325,243.46,237.94,237.15,230.84,227.09
"ADP",305.62,307.97,306.92,306.93,305.395,304.72,302.805,301.74,304.03,297.3018,297.89,302.405,298.51,296.23,296.635,297.39,293.8,291.715,291.48,292.17,294.78,294.78,296.74,297.97,291.1,293.59,293.49,289.975,289.42,288.775,289.3,291.89,286.85,287.56,289.48,294.07,293.005,297.96,296.18,298.485,298.08,296.46,297.36,299.0775,309.475,304.93,302.43,303.61,304.02,305.03,308.7706,310.07,307.555,305.28,303.59,306.19,309.655,308.15,310.14,310.575,312.45,309.925,313.04,313.615,313.52,314.19
"ADSK",320.92,293.79,290.64,291.9,293.32,297.935,302.55,302.92,308.86,308.27,306.63,308.2125,306.99,308.15,305.71,302.99,302.47,293.01,296.13,296.41,298.65,298.65,300.61,298.19,291.92,297.49,297.23,292.71,295.115,294.51,294.115,296.37,284.96,285.75,285.38,295.8,289.9,293.07,291.45,295.03,299.96,299.88,299.235,305.615,307.21,308.965,314.97,303.89,307.19,305.28,310.21,309.47,302.26,301.77,295.155,300.315,303.565,302.72,293.3562,294.035,292.79,290.495,282.905,283.63,285.66,273.33
"AEP",98.2,99.33,99.89,99.86,98.27,98.2099,96.96,97.66,96.6235,96.42,94.17,94.285,93.61,92.38,92.46,92.49,91.6643,91.42,91.58,91.74,92.76,92.76,92.46,92.42,91.8125,92.3687,92.55,92.135,90.51,91.68,90.08,92.26,93.51,93.015,93.815,95.4,95.005,96.89,97.25,98.53,97.23,98.045,98.72,101.2594,100.2897,98.4,98.635,97.39,98.055,98.715,99.31,99.99,99.7,100.19,100.89,101.52,102.295,101.83,102.35,102.175,103.42,104.96,106.47,106.225,106.63,106.765
"AMAT",175.6,173.2,171.32,174.71,179.375,181.55,181.665,175.7559,172.33,174.11,170.825,173.15,168.68,170.37,170.825,169.51,173.435,162.0,161.83,166.2,167.98,167.98,167.18,166.21,162.51,163.7,166.015,167.175,179.86,179.5,176.555,176.99,171.65,170.375,170.93,178.0817,184.88,189.385,192.05,192.43,198.75,188.71,176.84,172.0,174.995,178.795,184.705,175.81,176.99,176.66,180.48,181.48,183.45,182.83,179.72,181.27,174.0,169.2,169.7,171.315,177.32,176.105,172.0016,167.49,166.86,158.24
"AMD",142.98,137.09,136.24,137.175,140.82,141.465,141.72,142.3388,142.0299,133.7,130.15,128.715,130.1872,129.75,125.065,123.67,125.37,119.59,120.29,124.83,125.93,125.93,125.89,124.1599,122.96,122.524,122.7901,122.795,129.56,129.13,122.3,121.84,116.04,115.24,115.63,118.8757,118.7403,121.23,121.46,122.2171,123.7,122.63,117.7695,113.23,116.3196,119.0404,118.2699,113.99,115.83,108.14,110.15,109.1916,109.13,110.9976,110.01,113.8265,114.17,113.1,114.06,113.72,114.44,115.21,109.28,106.96,103.54,100.02
"AMGN",260.0001,279.8,280.07,282.87,279.34,277.7,276.005,278.955,272.86,278.75,273.47,274.88,275.04,271.64,269.52,268.415,266.29,257.76,264.77,262.71,262.38,262.38,263.49,263.1466,258.97,260.59,262.89,259.9,260.01,263.14,260.755,264.21,262.23,264.23,267.11,271.335,267.965,272.93,272.11,272.9325,274.21,273.215,278.55,281.305,281.79,284.889,285.51,284.86,287.09,304.3,306.54,297.11,292.3224,290.36,293.16,295.67,293.265,291.16,289.945,294.21,296.52,298.44,310.82,318.0,310.5,307.76
"AMZN",202.14,208.1388,205.74,207.89,211.2593,211.36,218.68,218.23,224.6793,227.0,228.65,229.2687,228.66,229.54,229.385,228.27,231.1,223.41,222.61,225.02,228.24,228.24,227.69,222.8805,218.94,222.16,223.92,224.16,225.94,225.5133,222.54,222.13,218.94,218.365,220.29,222.885,223.39,223.835,225.94,228.07,233.98,233.165,229.45,236.99,237.27,236.91,239.0,235.26,239.82,237.01,238.1,232.88,231.17,232.65,229.86,228.5733,229.1459,228.68,227.82,224.9445,222.8073,221.1207,214.54,210.28,212.83,208.4
"ANSS",352.14,347.44,348.02,351.1,348.84,347.87,352.23,344.2,347.66,341.33,338.67,345.03,342.265,342.05,340.78,342.51,342.625,338.05,336.395,338.83,340.09,340.09,339.18,338.595,334.115,337.23,336.11,337.58,341.74,337.935,339.39,343.47,337.81,337.25,338.04,343.97,344.665,348.405,349.93,350.34,354.67,354.995,349.08,346.045,346.655,349.38,352.405,344.74,345.0,345.355,348.71,346.9,345.15,342.23,336.345,335.87,339.335,338.93,337.015,332.8821,342.655,338.2,334.21,333.095,332.52,330.35
"APP",318.7166,329.06,328.56,336.75,338.5413,359.5909,380.51,386.63,396.7101,334.69,352.16,323.075,331.515,329.22,342.45,327.9301,339.7,314.63,335.0,335.64,346.49,346.49,339.41,334.49,327.99,325.71,330.505,345.56,352.56,327.33,330.245,329.2,318.48,313.31,320.56,338.09,338.02,342.88,342.34,344.765,353.9614,358.1885,346.65,360.48,356.88,379.06,376.6,358.1791,381.38,375.5,372.2,384.16,378.085,378.2162,381.1052,507.21,474.405,510.13,508.56,491.605,453.45,442.0,408.07,389.6075,314.8088,314.3602
"ARM",140.4,134.25,133.37,134.29,138.495,141.095,143.055,139.19,140.99,140.24,140.36,140.19,147.0,156.25,145.97,138.05,145.0,133.4,132.57,124.82,130.37,130.37,131.53,128.49,125.85,125.6,128.15,133.44,146.03,141.77,144.86,145.2,140.49,136.87,139.51,145.545,145.05,148.74,149.26,147.67,177.76,164.745,151.73,148.28,148.7,152.29,157.7221,156.33,159.7,165.95,162.6599,165.0,159.265,162.8332,156.8575,155.2,157.8,159.54,156.72,157.305,148.785,150.79,141.08,136.2,136.04,130.215
